cutoff	recall_rate	FDR
0.0001	0.9614735329021044	0.0001390506318113083
0.00025	0.9614735329021044	0.0001390506318113083
0.0005	0.9614735329021044	0.0001390506318113083
0.001	0.9612562469705327	0.00013908205841446454
0.005	0.9640642497785354	8.667764583513912e-05
0.01	0.9652008223436794	8.657558914688414e-05
0.025	0.9665546808403951	8.645433482034789e-05
0.05	0.9676243961958247	0.0001036287327933125
0.1	0.968794397365826	6.900477858091673e-05
0.2	0.9699978271406843	0.00012060232245615245
0.5	0.9711678283106855	0.00012045704845814978
