cutoff	recall_rate	FDR
0.0001	0.9806269046582499	0.019372492925775055
0.00025	0.9806269046582499	0.019372492925775055
0.0005	0.9806269046582499	0.019372492925775055
0.001	0.9805647117358045	0.019434683914300817
0.005	0.9799116860501275	0.020087689293821324
0.01	0.9800360718950184	0.0199633073167698
0.025	0.9802537471235774	0.01974563885692963
0.05	0.9807823869643635	0.01921701545446065
0.1	0.9810933515765906	0.018906060511831836
0.2	0.9814665091112631	0.01853291458067726
0.5	0.9818707631071584	0.018128673155259803
