cutoff	recall_rate	FDR
0.0001	0.9683538245422111	0.03164616562257878
0.00025	0.968413184818687	0.03158680536455123
0.0005	0.9684430203503188	0.03155696984219184
0.001	0.9684877736477667	0.03151221655865275
0.005	0.9685549035939384	0.03144508663334412
0.01	0.9685890901405999	0.031410900097307314
0.025	0.9686413023209557	0.03135868793317838
0.05	0.9686872987655549	0.03131269150287431
0.1	0.9687174450839746	0.031282545193823674
0.2	0.9687491453363335	0.03125084495131682
0.5	0.9688308822615332	0.03116910805151973
