cutoff	recall_rate	FDR
0.0001	0.9295515025637697	0.07044804018926339
0.00025	0.9295904459012138	0.07040909710458165
0.0005	0.9296293892386578	0.07037015401989992
0.001	0.9296683325761018	0.07033121093521817
0.005	0.9297527098072305	0.07024683425174108
0.01	0.9298241059258778	0.07017543859649122
0.025	0.9299019926007659	0.07009755242712776
0.05	0.9299344453819692	0.07006509985655963
0.1	0.929979879275654	0.07001966625776428
0.2	0.9300382942818199	0.06996125163074167
0.5	0.9301096904004673	0.06988985597549181
