cutoff	recall_rate	false_positive
0.0001	0.9291299458667852	0.07086959080002876
0.00025	0.9291757106618896	0.07082382630412469
0.0005	0.92920839980125	0.07079113737847892
0.001	0.9292476267684825	0.07075191066770399
0.005	0.9293326185308193	0.07066691946102499
0.01	0.9294110724652841	0.07058846603947515
0.025	0.9294895263997489	0.0705100126179253
0.05	0.9295222155391093	0.07047732369227953
0.1	0.9295679803342137	0.07043155919637545
0.2	0.9296268207850624	0.07037271913021306
0.5	0.9296987368916552	0.07030080349379238
