cutoff	recall_rate	false_positive
0.0001	0.9839456686535546	0.0160539979231568
0.00025	0.9839456686535546	0.0160539979231568
0.0005	0.9839456686535546	0.0160539979231568
0.001	0.9839248997902345	0.016074766355140185
0.005	0.983281065027311	0.01671858774662513
0.01	0.983447215933872	0.016552440290758048
0.025	0.9838002866103138	0.0161993769470405
0.05	0.9844648902365574	0.015534787123572171
0.1	0.9848594986396395	0.01514018691588785
0.2	0.9850256495462003	0.014974039460020768
0.5	0.9853994890859623	0.014600207684319834
