cutoff	recall_rate	false_positive
0.0001	0.9878329339718722	1.3346056573933816e-05
0.00025	0.9878329339718722	1.3346056573933816e-05
0.0005	0.9878329339718722	1.3346056573933816e-05
0.001	0.9878675416363163	1.3345589032594934e-05
0.005	0.9883899525710199	1.3338535362124563e-05
0.01	0.9885761747654095	1.3336022764590859e-05
0.025	0.9887623969597991	1.3333511113481512e-05
0.05	0.9888859957613851	1.333184461068514e-05
0.1	0.9890540901315421	1.3329578835294726e-05
0.2	0.9892485522460375	1.4992803454341917e-05
0.5	0.9895649651780977	1.3322697379925026e-05
