cutoff	recall_rate	false_positive
0.0001	0.9881876507724683	0.011812345185599349
0.00025	0.9881879929511198	0.01181200300706496
0.0005	0.9881876507724683	0.011812345185599349
0.001	0.9883341032352991	0.011665892772881393
0.005	0.9893739841571284	0.010626012206877035
0.01	0.9897921264692295	0.010207870037855211
0.025	0.9903539838149498	0.009646012884390534
0.05	0.9907221680439358	0.00927782878138932
0.1	0.990988725213434	0.009011271703101266
0.2	0.9911382572841281	0.008861739683573823
0.5	0.9908604082191312	0.00913958865349667
