cutoff	recall_rate	false_positive
0.0001	0.9726880882088255	1.62236584788347e-05
0.00025	0.972688514717536	1.6223651365132567e-05
0.0005	0.9726893677349573	1.622363713774701e-05
0.001	0.9727367102018325	1.4030601619043735e-05
0.005	0.9736835595393365	1.9273215792998654e-05
0.01	0.9741305406680321	1.7950916065894747e-05
0.025	0.9747634795945438	1.9689397565690395e-05
0.05	0.9752629212946416	1.6618138785948753e-05
0.1	0.9758169561096947	1.7919893704435393e-05
0.2	0.976475059050131	1.790781667462327e-05
0.5	0.9775409043178889	1.3961648224929133e-05
