cutoff	recall_rate	false_positive
0.0001	0.9876322909670298	0.012367703792095789
0.00025	0.9876318672121804	0.012368127546765565
0.0005	0.9876318672121804	0.012368127546765565
0.001	0.9876229683603441	0.01237702639483087
0.005	0.9882649569571011	0.011735038070119533
0.01	0.9885798068101642	0.011420188350475622
0.025	0.9890772950032947	0.010922700368158057
0.05	0.9894353678509908	0.010564627672196947
0.1	0.9897849656017002	0.010215030069631367
0.2	0.9901290545393678	0.00987094127777288
0.5	0.9905833197378653	0.009416676271772515
