cutoff	recall_rate	FDR
0.0001	0.9871346689003032	0.012865308834905586
0.00025	0.9871363995071232	0.012863578231080607
0.0005	0.9871346689003032	0.012865308834905586
0.001	0.9878701767987927	0.012129802209288843
0.005	0.9906478007448531	0.009352183070195022
0.01	0.9915702141799	0.008429771231480376
0.025	0.9925272397513464	0.007472747316266118
0.05	0.9930377687632391	0.0069622191878968495
0.1	0.9930948787882983	0.0069051092616724905
0.2	0.992556660067286	0.007443327051241449
0.5	0.9894190699026707	0.01058091178593123
