cutoff	recall_rate	false_positive
0.0001	0.9956827325202348	0.004317233154442456
0.00025	0.9956827325202348	0.004317233154442456
0.0005	0.9956827325202348	0.004317233154442456
0.001	0.9957701909774676	0.004229775392566091
0.005	0.9963744494092579	0.0036255217650566487
0.01	0.9965652678614022	0.003434704830053667
0.025	0.9970264124540843	0.002973563903796462
0.05	0.9973126401323008	0.0026873385012919897
0.1	0.997431901664891	0.002568077916915126
0.2	0.9974716555090877	0.002528324388789505
0.5	0.9966447755497957	0.0033551977738024248
