cutoff	recall_rate	false_positive
0.0001	0.9668709936452118	0.00032386722517360896
0.00025	0.9668709936452118	0.00032386722517360896
0.0005	0.9668709936452118	0.00032386722517360896
0.001	0.967490550886763	0.0002861189396432097
0.005	0.9701072283985657	0.00024968789013732833
0.01	0.9711975106951501	0.00021734792771221708
0.025	0.9725750737238505	0.00020103220251236882
0.05	0.973597862354456	0.00019726740218380345
0.1	0.9744268230212242	0.00019709961698750105
0.2	0.9745185451826829	0.0002201575546887345
0.5	0.9721545362665965	0.0002473829024599471
