cutoff	recall_rate	FDR
0.0001	0.8621775940145698	0.13781336133350833
0.00025	0.8621775940145698	0.13781336133350833
0.0005	0.8622432237317057	0.13774773592334952
0.001	0.8606024808033077	0.13938837117731986
0.005	0.8659841176084531	0.13400708754429716
0.01	0.8694624926166569	0.13052894080588004
0.025	0.8750410185732099	0.12495078094238089
0.05	0.8792413204699088	0.12075075469221683
0.1	0.8844916978407823	0.11550072187951174
0.2	0.8886263700203452	0.1113663210395065
0.5	0.8932860799369955	0.10670691691823074
