cutoff	recall_rate	false_positive
0.0001	0.9699554994618682	7.649412679498031e-05
0.00025	0.9699561802105011	7.649407311289473e-05
0.0005	0.9699565205848175	7.64940462718802e-05
0.001	0.9701239847485076	6.735988880005024e-05
0.005	0.9714517849569528	6.516584356834146e-05
0.01	0.9720549282456904	5.7422848551438615e-05
0.025	0.9728789744657995	5.5275272606799346e-05
0.05	0.9735062843310045	5.2093257419355963e-05
0.1	0.9741444861743357	5.3107245540301584e-05
0.2	0.9747329933674661	5.761424643184496e-05
0.5	0.9751703743640957	6.003140480118611e-05
