cutoff	recall_rate	false_positive
0.0001	0.9871217656794374	0.012878229937664467
0.00025	0.9871217656794374	0.012878229937664467
0.0005	0.9871217656794374	0.012878229937664467
0.001	0.9872912519556436	0.012708743719140235
0.005	0.9884153747875891	0.011584621269771691
0.01	0.9888840145513157	0.011115981665539027
0.025	0.9895231615929123	0.010476834841465723
0.05	0.9898784701719469	0.010121526383354684
0.1	0.9901361029251358	0.009863893717846966
0.2	0.9902446694353962	0.009755327244535261
0.5	0.9897304249306825	0.010269571574234283
