cutoff	recall_rate	false_positive
0.0001	0.9875200453816532	6.90383646192189e-05
0.00025	0.9875200453816532	6.90383646192189e-05
0.0005	0.9875200453816532	6.90383646192189e-05
0.001	0.9876454994709111	6.62685948986988e-05
0.005	0.9882482245519107	5.243136665116722e-05
0.01	0.988462314682492	5.655819907658394e-05
0.025	0.9887691317486118	5.65406499692474e-05
0.05	0.9889750400907633	6.066488716330988e-05
0.1	0.9891454940163854	6.20328581156899e-05
0.2	0.9893009479965528	7.580497997370256e-05
0.5	0.9893868567750663	7.166423651403103e-05
