cutoff	recall_rate	FDR
0.0001	0.9877567916143533	0.01224320419720084
0.00025	0.9877561074068879	0.012243888404432158
0.0005	0.9877567916143533	0.01224320419720084
0.001	0.987929211895631	0.012070783974908753
0.005	0.9890324964335686	0.010967499814408789
0.01	0.9894857838793879	0.010514212523660742
0.025	0.9900906232787906	0.0099093733311758
0.05	0.9904293059741575	0.009570690751673485
0.1	0.9906684364833105	0.009331560324327913
0.2	0.990754988727682	0.00924500810956621
0.5	0.9902089911703027	0.00979100548015782
