cutoff	recall_rate	FDR
0.0001	0.9891346760797692	0.010865319341785402
0.00025	0.9891342546981938	0.010865740723183182
0.0005	0.9891346760797692	0.010865319341785402
0.001	0.9891085504220979	0.010891444988447829
0.005	0.989653396799017	0.01034659884111688
0.01	0.9899445714675793	0.010055424295250148
0.025	0.9903950283716215	0.009604967581022162
0.05	0.9907055865926496	0.009294409490857499
0.1	0.9910182517215544	0.00898174449370393
0.2	0.9913321809951853	0.008667815352357017
0.5	0.9917029967814875	0.00829699972230966
