cutoff	recall_rate	FDR
0.0001	0.6805425631431244	9.816432708353784e-05
0.00025	0.6805425631431244	9.816432708353784e-05
0.0005	0.6806093812641989	9.815469179426777e-05
0.001	0.6828143792596553	9.783778495254867e-05
0.005	0.693839369236937	9.628345850182938e-05
0.01	0.6989175464385942	9.558401835213153e-05
0.025	0.7067352666043031	9.452689290103034e-05
0.05	0.7118802619270346	9.384384384384384e-05
0.1	0.718829346518776	0.00018585633305454884
0.2	0.7268475210477081	0.00018380663541953864
0.5	0.7374047841774689	0.0002717391304347826
