cutoff	recall_rate	false_positive
0.0001	0.9938382117777932	0.006161734671707296
0.00025	0.9938382117777932	0.006161734671707296
0.0005	0.9938382117777932	0.006161734671707296
0.001	0.9940467913509003	0.005953156911310998
0.005	0.9945943127303066	0.005405640290270717
0.01	0.9949332545366057	0.0050667014296267325
0.025	0.995280887158451	0.004719071828966237
0.05	0.9954720851004658	0.004527875548602963
0.1	0.9955416116248349	0.004458349628470864
0.2	0.9953764861294584	0.0046234736887846
0.5	0.9941423903219078	0.0058575587711293614
