cutoff	recall_rate	false_positive
0.0001	0.8640919417345985	0.1358989777510523
0.00025	0.8640919417345985	0.1358989777510523
0.0005	0.8640919417345985	0.1358989777510523
0.001	0.8636910330081519	0.1362998596913209
0.005	0.8688360283308834	0.13115520812454065
0.01	0.872310570626754	0.12768089797554621
0.025	0.8795937458238674	0.12039820939400013
0.05	0.8831351062408125	0.11685708558829425
0.1	0.8870105572631297	0.1129818934990312
0.2	0.8912200988908192	0.108772633126211
0.5	0.8966991848189229	0.10329391327587359
