cutoff	recall_rate	false_positive
0.0001	0.9711261028569083	9.369641516106626e-05
0.00025	0.9711233660270467	9.369667919243326e-05
0.0005	0.9711257607531756	9.369644816490575e-05
0.001	0.9713128914949591	8.980482769623147e-05
0.005	0.972587912106709	7.597129832486805e-05
0.01	0.9731133834401268	7.628177997381813e-05
0.025	0.9739279324276707	6.638406023879295e-05
0.05	0.9745194297814983	6.774777608271827e-05
0.1	0.9751184534174452	7.998349814143608e-05
0.2	0.9756138196223859	9.536899385711481e-05
0.5	0.9758953709943929	9.569196860462182e-05
