cutoff	recall_rate	false_positive
0.0001	0.98835104886203	0.011648946260080657
0.00025	0.98835104886203	0.011648946260080657
0.0005	0.98835104886203	0.011648946260080657
0.001	0.9883229932264483	0.011677001883914203
0.005	0.988895830681308	0.011104164668924795
0.01	0.9892073738585125	0.01079262162217617
0.025	0.9897006505557528	0.010299345131490847
0.05	0.9900310370702882	0.00996895875530178
0.1	0.9903664484747784	0.00963354749126193
0.2	0.9907047910650757	0.009295205042642455
0.5	0.9911076197431277	0.008892376533271249
