cutoff	recall_rate	FDR
0.0001	0.6817314650351951	9.64785335262904e-05
0.00025	0.6817314650351951	9.64785335262904e-05
0.0005	0.6817972501809092	9.646922631680494e-05
0.001	0.6839681599894744	9.616309260505818e-05
0.005	0.6948884941780146	9.46521533364884e-05
0.01	0.7000197355437142	9.39584703561026e-05
0.025	0.7077165975922637	9.29368029739777e-05
0.05	0.7128478389579633	9.226794611551947e-05
0.1	0.7197552792579436	0.0001827485380116959
0.2	0.7277810670350635	0.0001807337791433219
0.5	0.7381751200578909	0.00026726057906458796
