cutoff	recall_rate	FDR
0.0001	0.9584466782072356	0.00035844197222738495
0.00025	0.9584375863724306	0.0003584453712185436
0.0005	0.9584484965741966	0.0003584412924368887
0.001	0.9591776617255575	0.000327857668079171
0.005	0.961899757066174	0.00026836302335514256
0.01	0.9630616935542528	0.0002642651258751423
0.025	0.9647545931949435	0.00020163227925505353
0.05	0.9659656255909692	0.00021455108009530585
0.1	0.9667529784850821	0.0002726558180990812
0.2	0.966871172337547	0.0003421644344510705
0.5	0.9637235791280567	0.00036025093080541544
