cutoff	recall_rate	FDR
0.0001	0.9934444547909489	0.006555423122765197
0.00025	0.9934444547909489	0.006555423122765197
0.0005	0.9934444547909489	0.006555423122765197
0.001	0.9933513362510475	0.006648539928486293
0.005	0.9937424341186331	0.006257449344457688
0.01	0.9942452742341	0.005754618593563766
0.025	0.9947853617655276	0.005214541120381407
0.05	0.9952323307570538	0.004767580452920143
0.1	0.9955116863767576	0.004488230035756853
0.2	0.9954930626687774	0.004506853396901073
0.5	0.995101964801192	0.004897943980929678
