cutoff	recall_rate	false_positive
0.0001	0.9639851053101121	4.023497223786915e-05
0.00025	0.9639851053101121	4.023497223786915e-05
0.0005	0.9639851053101121	4.023497223786915e-05
0.001	0.9638881346728211	6.035731530661516e-05
0.005	0.9671075598308833	8.020693388943474e-05
0.01	0.96887242542958	8.006084624314479e-05
0.025	0.9710833559598153	7.987858455148175e-05
0.05	0.9725185213917226	5.9821731240902115e-05
0.1	0.9742639928629611	1.9905647232119753e-05
0.2	0.974070051588379	1.990961036892508e-05
0.5	0.9743609635002521	0.00011941011403665891
