cutoff	recall_rate	FDR
0.0001	0.9744240276093648	0.025575733833282033
0.00025	0.9744240276093648	0.025575733833282033
0.0005	0.9744240276093648	0.025575733833282033
0.001	0.9742934427758605	0.02570631744876925
0.005	0.9738457233467027	0.02615403270186828
0.01	0.9740042906445294	0.02599546688306237
0.025	0.9743307527282903	0.02566900784434433
0.05	0.9746945247644809	0.02530523920120137
0.1	0.9752168640984983	0.0247829047392525
0.2	0.9756272735752262	0.02437249909057839
0.5	0.9762988527189628	0.023700926210929847
