cutoff	recall_rate	FDR
0.0001	0.9810734890282922	0.018926391766862123
0.00025	0.9810734890282922	0.018926391766862123
0.0005	0.9810734890282922	0.018926391766862123
0.001	0.9809286272138664	0.01907125266890466
0.005	0.980708185322349	0.019291693172012875
0.01	0.9809223288741088	0.019077550968993467
0.025	0.981407301035447	0.018592581862155403
0.05	0.9817159196835714	0.018283965157803908
0.1	0.9821756984858792	0.01782418925132107
0.2	0.9825535988713375	0.017446291245992708
0.5	0.9830007809941299	0.016999111939687478
