cutoff	recall_rate	FDR
0.0001	0.9283835357199179	1.3589264481059962e-05
0.00025	0.9283835357199179	1.3589264481059962e-05
0.0005	0.9283835357199179	1.3589264481059962e-05
0.001	0.9282005992745623	2.0387775489816307e-05
0.005	0.9296325500709667	2.714164546225615e-05
0.01	0.9306481627503548	2.711202689513068e-05
0.025	0.9325532250433686	2.705664308229278e-05
0.05	0.9340545655259422	2.026000337666723e-05
0.1	0.9357893076801767	6.740906517108421e-06
0.2	0.9367544551332597	6.733961387465404e-06
0.5	0.938533354360511	4.032583272844584e-05
