cutoff	recall_rate	false_positive
0.0001	0.9907975259351376	0.009202453987730062
0.00025	0.9909938802892955	0.009006100061960572
0.0005	0.9910527865955427	0.008947193884229725
0.001	0.9911422369124369	0.008857743762490291
0.005	0.9912185969390538	0.008781383902468824
0.01	0.9912229603691461	0.008777020481896169
0.025	0.9912884118205321	0.008711569173306339
0.05	0.9912905935355784	0.00870938746302001
0.1	0.9912076883638228	0.00879229245390046
0.2	0.9908891579670779	0.0091108221557043
0.5	0.9899204764865661	0.01007950152283378
