cutoff	recall_rate	FDR
0.0001	0.9711805430844296	0.0288194490738763
0.00025	0.9712687026074539	0.028731289574839933
0.0005	0.9712937355584361	0.02870625663066911
0.001	0.9713500596981461	0.028649932506284767
0.005	0.9714286958159055	0.02857129640992208
0.01	0.9714458379453824	0.02855415428510945
0.025	0.9715054272526119	0.02849456499409413
0.05	0.9715459697493113	0.02845402250842617
0.1	0.971564744462548	0.028435247800298054
0.2	0.9715737236732264	0.02842626859206287
0.5	0.971485564150202	0.028514428091099237
