cutoff	recall_rate	FDR
0.0001	0.9890638624523956	0.010936129397201204
0.00025	0.9890675888179223	0.010932403034451714
0.0005	0.9890705699103437	0.010929421944252123
0.001	0.9890817490069236	0.010918242856003655
0.005	0.9891115599311368	0.01088843195400774
0.01	0.9891205032084007	0.010879488683408966
0.025	0.9891443519477713	0.010855639961812234
0.05	0.9891607479560885	0.010839243965714482
0.1	0.9891741628719845	0.01082582905981632
0.2	0.9891972663382497	0.010802725610769486
0.5	0.9892054643424083	0.01079452761272061
