cutoff	recall_rate	false_positive
0.0001	0.9610012291876188	0.00017438480914551443
0.00025	0.9610012291876188	0.00017438480914551443
0.0005	0.9610012291876188	0.00017438480914551443
0.001	0.9609639810779603	0.0001743915671988839
0.005	0.9644466793310239	0.0001737619461337967
0.01	0.9658621074980445	0.0002313297605736978
0.025	0.9687488359965731	0.0001537722248918789
0.05	0.9704063768763735	9.594903187426839e-05
0.1	0.9715983163854435	0.00013415872894187095
0.2	0.9715424442209558	9.583684735106954e-05
0.5	0.9716728126047603	0.00024910418303408896
