cutoff	recall_rate	false_positive
0.0001	0.9936488835405803	0.006351010312035165
0.00025	0.9936488835405803	0.006351010312035165
0.0005	0.9936488835405803	0.006351010312035165
0.001	0.9935653162187458	0.006434576237193522
0.005	0.9943675625083568	0.005632343355673291
0.01	0.9945681240807595	0.005431785135293233
0.025	0.9952366626554352	0.0047632577340263734
0.05	0.9951530953336007	0.004846823659184731
0.1	0.9956879261933413	0.004312001738171243
0.2	0.995754780050809	0.004245148998044557
0.5	0.9954873646209387	0.004512559958551301
