cutoff	recall_rate	false_positive
0.0001	0.9293875800837411	6.784812874860911e-06
0.00025	0.9293875800837411	6.784812874860911e-06
0.0005	0.9293875800837411	6.784812874860911e-06
0.001	0.929362356858195	6.7849970146013136e-06
0.005	0.9307244110376836	2.0324927846506143e-05
0.01	0.9316639761892751	1.3536379018612521e-05
0.025	0.9332908742369974	0.0
0.05	0.9347727387378298	1.3491362155380017e-05
0.1	0.9362861322705948	0.0
0.2	0.9378184432225193	6.723819129265423e-06
0.5	0.9397543257831812	2.683933304257389e-05
