cutoff	recall_rate	false_positive
0.0001	0.9815590489564787	0.018440895111342972
0.00025	0.9815620820076372	0.01843786206938387
0.0005	0.9815651150587957	0.018434829027424767
0.001	0.9825690549922506	0.01743089213896185
0.005	0.9856263705599922	0.014373585844186569
0.01	0.9870185410417317	0.012981419584958537
0.025	0.9884471081373729	0.01155285682222128
0.05	0.9893145607686965	0.010685406821917974
0.1	0.989548105707899	0.010451862591067085
0.2	0.9888626361460838	0.011137330073824241
0.5	0.9845132407848323	0.015486712243177173
