cutoff	recall_rate	FDR
0.0001	0.9815267911554169	0.018473152836309615
0.00025	0.9815267911554169	0.018473152836309615
0.0005	0.9815237592813245	0.018476184701209715
0.001	0.982530341479979	0.017469605554376495
0.005	0.985601629935512	0.014398326410575145
0.01	0.9869902282698004	0.013009732286329321
0.025	0.9884243047154738	0.011575660188581997
0.05	0.9892914207058809	0.010708546827153382
0.1	0.9895248750109905	0.010475093229845679
0.2	0.9888396714661234	0.01116029469726829
0.5	0.9844919640177183	0.015507988964011763
