cutoff	recall_rate	FDR
0.0001	0.9956732062499145	0.004326787174351134
0.00025	0.9956732062499145	0.004326787174351134
0.0005	0.9956732062499145	0.004326787174351134
0.001	0.9956884039799816	0.004311589467381162
0.005	0.9958570987837256	0.0041428949200144685
0.01	0.9959695619862218	0.0040304318884366724
0.025	0.996132177697939	0.0038678164238579683
0.05	0.9962947934096563	0.0037052009592792637
0.1	0.9964254938882329	0.0035745006793375016
0.2	0.9965045220845814	0.0034954726030936452
0.5	0.9964832452624875	0.0035167493928516067
