cutoff	recall_rate	false_positive
0.0001	0.9885094864202426	0.011490508562206122
0.00025	0.9885094864202426	0.011490508562206122
0.0005	0.9885086130818235	0.011491381900243836
0.001	0.9885378699188625	0.01146212507598041
0.005	0.989157066857986	0.01084292840724102
0.01	0.9894596786201951	0.01054031677717304
0.025	0.9899566081806483	0.010043387433713642
0.05	0.9903103102403733	0.009689685528439379
0.1	0.9906478555393454	0.00935214037686283
0.2	0.9909936975532988	0.009006298513927995
0.5	0.9914356067933502	0.008564389466844595
