cutoff	recall_rate	FDR
0.0001	0.8683332242654277	0.13165815992671118
0.00025	0.8682677835220208	0.13172359638790734
0.0005	0.8683332242654277	0.13165815992671118
0.001	0.8701655650808193	0.12982593901321818
0.005	0.8743537726588574	0.12563800549666274
0.01	0.8769059616517244	0.12308598351001178
0.025	0.8826647470715268	0.11732757492474807
0.05	0.8877036843138538	0.11228896741264233
0.1	0.8923499770957398	0.10764297866771365
0.2	0.89608009946993	0.10391310037953147
0.5	0.9011844774556639	0.09880905640622956
