cutoff	recall_rate	false_positive
0.0001	0.9888017004573714	1.8886260074102816e-05
0.00025	0.9888017004573714	1.8886260074102816e-05
0.0005	0.9888017004573714	1.8886260074102816e-05
0.001	0.9888645168738477	1.5451466086607184e-05
0.005	0.9894027007663603	1.544306143249838e-05
0.01	0.9895724748649447	1.5440412018816717e-05
0.025	0.9898339269767648	1.5436333699231614e-05
0.05	0.9899918168884483	1.543387186113631e-05
0.1	0.9901531022821034	1.5431357890910587e-05
0.2	0.9903381560495604	1.5428474449589173e-05
0.5	0.9906063991253239	1.542429669491598e-05
