cutoff	recall_rate	FDR
0.0001	0.9559267336162159	0.00033621228316686594
0.00025	0.9559176344627405	0.00033621548240578037
0.0005	0.9559237005650574	0.0003362133495730725
0.001	0.9565667074106539	0.00034232463786490854
0.005	0.9594754034716304	0.0002907408519339007
0.01	0.9610950527902554	0.0002460932693490833
0.025	0.9625600164997983	0.0002488682793751201
0.05	0.9639582530838547	0.00021391249091658356
0.1	0.9650107218358452	0.0002168209027919619
0.2	0.965553637993212	0.000285771709228856
0.5	0.9624841902208364	0.00042209111498202963
