cutoff	recall_rate	false_positive
0.0001	0.8682109153302976	0.13178038801636532
0.00025	0.8681449217976638	0.13184637719414016
0.0005	0.8682109153302976	0.13178038801636532
0.001	0.8700587342440441	0.12993269103866967
0.005	0.8740183462020722	0.12597334037217897
0.01	0.8765920939747904	0.12339976243896002
0.025	0.8822675377812974	0.11772469315032334
0.05	0.8873490397941002	0.11264352646166029
0.1	0.8920345806111001	0.1079582948396463
0.2	0.8957962119712268	0.10419691170648014
0.5	0.9009437075166634	0.09904975584004223
