cutoff	recall_rate	FDR
0.0001	0.987630406138879	0.01236958913970914
0.00025	0.987630406138879	0.01236958913970914
0.0005	0.9876292610535091	0.012370734224641999
0.001	0.9877815574077099	0.012218437928571892
0.005	0.9887094582524776	0.011290537437979337
0.01	0.9891487893394079	0.010851206518739507
0.025	0.989763700183061	0.01023629590979479
0.05	0.9901820380382093	0.00981795821432402
0.1	0.9905064788930231	0.009493517483347603
0.2	0.9907225183328168	0.00927747812601507
0.5	0.9905614429907798	0.00943855340657042
