cutoff	recall_rate	false_positive
0.0001	0.955792243859697	0.00033612912432021055
0.00025	0.9557983076078816	0.00033612699258300907
0.0005	0.955792243859697	0.00033612912432021055
0.001	0.9564471286636409	0.0003422346018195473
0.005	0.9593456002959109	0.00029066736595337317
0.01	0.9609797804316782	0.0002460272901040254
0.025	0.9624593349887366	0.0002487977400347057
0.05	0.963857028945302	0.00021385194526648153
0.1	0.9649030255071568	0.00021676096292130948
0.2	0.9654487628437767	0.00028569186092143475
0.5	0.9623986975068899	0.0004219648446602553
