cutoff	recall_rate	FDR
0.0001	0.9276158172143344	8.155276463872126e-05
0.00025	0.9276158172143344	8.155276463872126e-05
0.0005	0.9276158172143344	8.155276463872126e-05
0.001	0.9275716843618389	7.476076555023923e-05
0.005	0.9289019746299145	7.465370859264186e-05
0.01	0.9300557334880085	4.744926318072747e-05
0.025	0.9315751645524929	4.060473992664077e-05
0.05	0.9331009003101909	4.0538349278417384e-05
0.1	0.9344122764986256	2.6988003832296544e-05
0.2	0.9356858245277785	3.3688863135624626e-05
0.5	0.9375520137190124	6.72413561236703e-05
