cutoff	recall_rate	FDR
0.0001	0.9875214887542584	0.012478505290216166
0.00025	0.9875219660169848	0.012478028027717497
0.0005	0.9875214887542584	0.012478505290216166
0.001	0.9875343748478725	0.012465619202752087
0.005	0.9881056583314323	0.011894335991844538
0.01	0.988450719282655	0.011549275205306395
0.025	0.9888893237282619	0.011110670969029004
0.05	0.9891833175677546	0.010816677269848512
0.1	0.9895422191380444	0.01045777587084895
0.2	0.989871053156568	0.010128942009265575
0.5	0.9903177710685245	0.009682224310510799
