cutoff	recall_rate	false_positive
0.0001	0.9658462583063676	0.00020151901098401488
0.00025	0.9658450712584844	0.00020029072875105827
0.0005	0.9658438842106013	0.00020151950622805865
0.001	0.9664397822479364	0.00017806705145523763
0.005	0.9688126909663282	0.00013598524988821034
0.01	0.969510675121613	0.0001285430441686142
0.025	0.9701849183192351	0.00013579293901184336
0.05	0.9705505290672415	0.00014430085015212734
0.1	0.9707428308243098	0.00016505382588655301
0.2	0.9704674357154219	0.00020055961022951845
0.5	0.9685361088095572	0.0002217860022399161
