cutoff	recall_rate	FDR
0.0001	0.9955974076967383	0.00440258628001981
0.00025	0.9955974076967383	0.00440258628001981
0.0005	0.9955974076967383	0.00440258628001981
0.001	0.9955837265522285	0.00441626740581229
0.005	0.9957561089730522	0.004243885220827051
0.01	0.9958491407557191	0.004150853565438193
0.025	0.9959681667129545	0.004031827771043624
0.05	0.9960844564412881	0.00391553820180755
0.1	0.9960981375857979	0.0039018570760150713
0.2	0.9961309723326215	0.003869022374113121
0.5	0.9961036100436018	0.0038963846256980794
