cutoff	recall_rate	FDR
0.0001	0.9870270916031778	0.00012652100248641273
0.00025	0.9870270916031778	0.00012652100248641273
0.0005	0.9870216613359544	0.00012652169847128782
0.001	0.9872334417576689	0.00010999708507724546
0.005	0.9879991094361753	8.793141349747198e-05
0.01	0.9883032044006885	6.592971891963167e-05
0.025	0.9885910085635314	0.00012082932857339009
0.05	0.9887810679163521	0.00013727740468829792
0.1	0.9890091391397371	0.00014273479874393378
0.2	0.9889874180708432	0.0002086032366439033
0.5	0.9886453112357659	0.00023063617143955411
