cutoff	recall_rate	false_positive
0.0001	0.9858299955707603	0.014169987602893609
0.00025	0.9858299955707603	0.014169987602893609
0.0005	0.9858299955707603	0.014169987602893609
0.001	0.9866184714729656	0.013381512636973776
0.005	0.9890646467117349	0.010935340302945382
0.01	0.9896381916827667	0.010361796012976588
0.025	0.9899588068839646	0.010041181192497138
0.05	0.9899053710170983	0.01009461699591038
0.1	0.989530132485326	0.010469855082101144
0.2	0.988558787172067	0.011441199241924068
0.5	0.9858003089780568	0.01419967416034541
