cutoff	recall_rate	false_positive
0.0001	0.9958404153068372	0.004159562105628984
0.00025	0.9958404153068372	0.004159562105628984
0.0005	0.9958404153068372	0.004159562105628984
0.001	0.9958892877118483	0.004110689966006712
0.005	0.996296557753607	0.003703422135821106
0.01	0.996475756571981	0.00352422429053944
0.025	0.99658436191645	0.0034156195358232785
0.05	0.996730979131483	0.0032690031169564605
0.1	0.996573501382003	0.0034264800112948947
0.2	0.9963237090897243	0.003676270947142066
0.5	0.9957915429018263	0.004208434245251257
