cutoff	recall_rate	false_positive
0.0001	0.9714749613655823	1.5229329133313617e-05
0.00025	0.9714754386283088	1.5229321651624846e-05
0.0005	0.9714730523146765	1.5229359060142212e-05
0.001	0.9715689821226928	1.4245427095097068e-05
0.005	0.9725239848383177	1.275923952969443e-05
0.01	0.9729649755975568	1.3243967618008657e-05
0.025	0.9735510542256365	1.5196853172906855e-05
0.05	0.9739944312985078	1.5189935442774368e-05
0.1	0.9745361244930276	1.4202055086343597e-05
0.2	0.9751618159274026	1.712936339944452e-05
0.5	0.976243770528263	1.6132659346676182e-05
