cutoff	recall_rate	false_positive
0.0001	0.9733773090999198	1.529389186626429e-05
0.00025	0.9733753882015541	1.5293922047372675e-05
0.0005	0.9733773090999198	1.529389186626429e-05
0.001	0.9734666308739272	1.4305890524419415e-05
0.005	0.9743348769352451	1.2814560495075758e-05
0.01	0.9747574745757096	1.3301652410086989e-05
0.025	0.9752972470164847	1.5263785290733258e-05
0.05	0.9757155226356262	1.5257242022185014e-05
0.1	0.9762221595795921	1.4265510668388366e-05
0.2	0.9768089940303281	1.7206601632267393e-05
0.5	0.9778313921854973	1.6206420689214872e-05
