cutoff	recall_rate	false_positive
0.0001	0.9876951786278633	4.15529731152264e-05
0.00025	0.9876951786278633	4.15529731152264e-05
0.0005	0.9876938105134123	4.1553030670291936e-05
0.001	0.987800523440589	3.600893575590373e-05
0.005	0.988424383630237	3.045003771652399e-05
0.01	0.9885940298221588	2.4909529971008076e-05
0.025	0.9888334498510808	3.87382401770891e-05
0.05	0.9889661569528261	4.288283303361461e-05
0.1	0.9891221220002381	4.4259109423732564e-05
0.2	0.9892603015597873	6.084676571782589e-05
0.5	0.9893259710534344	6.77562048781702e-05
