cutoff	recall_rate	FDR
0.0001	0.9939398260373592	0.006059741926285021
0.00025	0.9939398260373592	0.006059741926285021
0.0005	0.9939398260373592	0.006059741926285021
0.001	0.9939398260373592	0.006059741926285021
0.005	0.994082418365892	0.005917159763313609
0.01	0.994082418365892	0.005917159763313609
0.025	0.9948666761728219	0.005132957866970842
0.05	0.9948666761728219	0.005132957866970842
0.1	0.9953657493226864	0.004633920296570899
0.2	0.9957222301440183	0.004277464889142368
0.5	0.9952231569941538	0.0047765024595423115
