cutoff	recall_rate	FDR
0.0001	0.9281448497151463	0.07185467975456909
0.00025	0.9282823652675005	0.07171716510271035
0.0005	0.9282627201885928	0.07173681005297589
0.001	0.9282889136271364	0.07171061678595517
0.005	0.9283674939427673	0.07163203698489304
0.01	0.928387139021675	0.07161239203462749
0.025	0.9284591709776701	0.07154036055032054
0.05	0.9284788160565778	0.071520715600055
0.1	0.9285181062143933	0.07148142569952394
0.2	0.9286294283282038	0.0713701043146859
0.5	0.9287472988016502	0.0712522346130927
