cutoff	recall_rate	FDR
0.0001	0.9694333203897711	0.03056667161746894
0.00025	0.9695031371795324	0.030496854845963806
0.0005	0.9695457594144803	0.030454232622161046
0.001	0.969580537066309	0.030419454979426278
0.005	0.9696558450642536	0.03034414700117355
0.01	0.9696877463689386	0.03031224570483038
0.025	0.969735075353758	0.030264916732386824
0.05	0.9697714219222106	0.030228570173438458
0.1	0.9697876340606569	0.030212358039231273
0.2	0.9697939097271523	0.03020608237437688
0.5	0.9697397821036295	0.03026020998374603
