cutoff	recall_rate	FDR
0.0001	0.9912932445705555	0.008706736425327022
0.00025	0.9914656771799629	0.008534304192285949
0.0005	0.9915573502128124	0.008442631359529936
0.001	0.9916031867292372	0.00839679494315193
0.005	0.9916926770708283	0.008307304796890107
0.01	0.9917341482047365	0.008265833753500483
0.025	0.9918018116337444	0.00819817047218057
0.05	0.9918258212375859	0.00817416092074447
0.1	0.9917537924260613	0.008246189575052767
0.2	0.991432936811088	0.00856704448969881
0.5	0.9904725526574266	0.009527426547142755
