cutoff	recall_rate	false_positive
0.0001	0.9975605315856545	0.002439438807709112
0.00025	0.9975605315856545	0.002439438807709112
0.0005	0.9975605315856545	0.002439438807709112
0.001	0.9975483949268766	0.002451575319190252
0.005	0.9977183081497664	0.002281664158454294
0.01	0.9979367680077674	0.0020632069517937763
0.025	0.9982280478184355	0.0017719306762464197
0.05	0.9984465076764367	0.0015534734695859022
0.1	0.9985071909703259	0.0014927909121802028
0.2	0.9985800109229929	0.0014199718432933636
0.5	0.9981430912069907	0.0018568862566143987
