cutoff	recall_rate	false_positive
0.0001	0.9881493034588444	0.011850692507292013
0.00025	0.9881493034588444	0.011850692507292013
0.0005	0.9881496438493813	0.01185035211687101
0.001	0.9881748327491097	0.011825163225716633
0.005	0.9889267554450573	0.011073240785716401
0.01	0.9893348836987653	0.010665112670931304
0.025	0.9898750834807791	0.010124913072796235
0.05	0.9902801482196554	0.009719848471800185
0.1	0.9906184964133049	0.009381500393321132
0.2	0.9909248478964886	0.009075149014416556
0.5	0.99111614737821	0.008883849597811699
