cutoff	recall_rate	FDR
0.0001	0.9884284968284632	0.011571498526920822
0.00025	0.9884284968284632	0.011571498526920822
0.0005	0.9884284968284632	0.011571498526920822
0.001	0.9883887597992919	0.011611235540142411
0.005	0.9889639432619445	0.011036052308359223
0.01	0.9893267945182166	0.010673201197729772
0.025	0.9897972167221446	0.01020277918262168
0.05	0.9901580610577515	0.009841934991851905
0.1	0.9904904071199123	0.009509589063089532
0.2	0.99084081546806	0.009159180855590074
0.5	0.9913325110310395	0.008667485489969415
